Country Name,Country Code,Region,Income group,Year,Population,Basic Sanitation Access (Pct of Pop),Basic Drinking Water Access (Pct of Pop),Mobile Cellular Subscriptions (per 100 people)
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2003,1284052,90.98480018,93.26444313,26.19457779
Tunisia,TUN,Middle East & North Africa,Lower middle income,2003,9939678,83.30157797,89.20253771,19.29167122
Turkey,TUR,Europe & Central Asia,Upper middle income,2003,66085803,84.88028322,96.13217528,42.19898032
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2003,9767,86.44287912,97.901248,0
Tanzania,TZA,Sub-Saharan Africa,Low income,2003,37149072,9.664425282,35.12581429,3.494030753
Uganda,UGA,Sub-Saharan Africa,Low income,2003,26624820,16.1519962,31.65071813,2.915208441
Ukraine,UKR,Europe & Central Asia,Lower middle income,2003,47812950,94.92792744,96.05341867,13.65772731
Uruguay,URY,Latin America & Caribbean,High income,2003,3325637,94.20871814,96.96477167,14.96044217
United States,USA,North America,High income,2003,290107933,99.96738163,,55.38679309
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2003,25567650,94.43991338,87.78019274,1.24199309
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2003,108350,74.33432778,93.57898467,58.06275958
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2003,25868523,89.17128913,96.42138423,27.11836698
British Virgin Islands,VGB,Latin America & Caribbean,High income,2003,22000,96.80339367,96.44315069,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2003,108506,96.69969196,99.9991,45.49985233
Vietnam,VNM,East Asia & Pacific,Lower middle income,2003,82747662,58.60524804,80.41281953,3.31368879
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2003,198964,53.07939676,81.75721172,3.920307191
Samoa,WSM,East Asia & Pacific,Upper middle income,2003,177662,98.66155691,93.02645361,5.910098952
Kosovo,XKX,Europe & Central Asia,Lower middle income,2003,1703466,,,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2003,19462086,43.25139576,45.44084432,3.469114256
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2003,47648727,62.3718597,78.64651752,35.38394635
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2003,11421984,26.99882944,51.10792229,2.109966185
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2003,12633897,41.46215122,70.18516467,2.878375532
Aruba,ABW,Latin America & Caribbean,High income,2004,98737,98.06130036,95.61554536,99.64754854
Afghanistan,AFG,South Asia,Low income,2004,24118979,27.0683159,34.73993262,2.487667492
Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,18865716,25.47410837,38.80548145,3.922459132
Albania,ALB,Europe & Central Asia,Upper middle income,2004,3026939,91.4434871,87.84864256,40.6614872
Andorra,AND,Europe & Central Asia,High income,2004,76244,100,100,76.5515975
United Arab Emirates,ARE,Middle East & North Africa,High income,2004,4087931,99.97610688,99.646177,90.09733775
Argentina,ARG,Latin America & Caribbean,High income,2004,38728696,94.82395868,99.20072729,34.88984757
Armenia,ARM,Europe & Central Asia,Upper middle income,2004,3000612,90.69495913,96.56483986,6.775584447
American Samoa,ASM,East Asia & Pacific,Upper middle income,2004,59264,62.51321958,98.74388,3.796571274
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2004,88257,83.97699271,97.7877409,61.1849485
Australia,AUS,East Asia & Pacific,High income,2004,20127400,100,99.77784115,82.61302181
Austria,AUT,Europe & Central Asia,High income,2004,8171966,99.9961385,100,97.26408257
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2004,8306500,72.05836088,78.60874335,17.23923946
Burundi,BDI,Sub-Saharan Africa,Low income,2004,7182451,44.01436699,53.34384686,1.400079165
Belgium,BEL,Europe & Central Asia,High income,2004,10421137,99.4847865,100,87.13361692
Benin,BEN,Sub-Saharan Africa,Low income,2004,7750004,10.96633914,61.96433885,5.926732425
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2004,13030569,12.62908419,48.32133413,3.038539606
Bangladesh,BGD,South Asia,Lower middle income,2004,141307489,31.25033048,95.41556015,1.968444857
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2004,7716860,85.86806073,99.70953455,61.0818771
Bahrain,BHR,Middle East & North Africa,High income,2004,829848,99.90804716,99.938318,78.2991584
"Bahamas, The",BHS,Latin America & Caribbean,High income,2004,322526,89.73219071,98.18633439,57.67193963
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2004,3781287,94.86867117,96.60365886,37.22121595
Belarus,BLR,Europe & Central Asia,Upper middle income,2004,9730146,94.86530256,97.89738406,23.14053609
Belize,BLZ,Latin America & Caribbean,Upper middle income,2004,276089,83.7740697,90.09686724,27.16515327
Bermuda,BMU,North America,High income,2004,63740,99.96380861,99.96380861,75.30930608
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2004,8967741,42.0631574,82.89375936,20.08074274
Brazil,BRA,Latin America & Caribbean,Upper middle income,2004,184738458,76.87096068,94.80026463,35.51236744
Barbados,BRB,Latin America & Caribbean,High income,2004,273091,90.31417593,98.42582199,73.28619398
Brunei Darussalam,BRN,East Asia & Pacific,High income,2004,359523,,,56.3118354
Bhutan,BTN,South Asia,Lower middle income,2004,640282,55.97256908,86.48721556,2.988995474
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2004,1829330,56.1792406,77.70271293,28.58095587
Central African Republic,CAF,Sub-Saharan Africa,Low income,2004,4055036,18.13730191,52.62193976,1.479641611
Canada,CAN,North America,High income,2004,31995000,98.5,99.9,47.01181245
Switzerland,CHE,Europe & Central Asia,High income,2004,7389625,99.89778624,100,85.4029135
Channel Islands,CHI,Europe & Central Asia,High income,2004,153170,,,
Chile,CHL,Latin America & Caribbean,High income,2004,15973778,94.34974177,96.90773223,57.97867605
China,CHN,East Asia & Pacific,Upper middle income,2004,1296075000,64.138189,82.78871482,25.48113353
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2004,17997738,24.31032644,72.06844836,9.303013523
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2004,16959081,39.41724128,58.05874815,9.026833471
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2004,53034217,21.61676995,36.35576726,3.753655871
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2004,3605439,13.24278205,58.80955794,10.64095107
Colombia,COL,Latin America & Caribbean,Upper middle income,2004,42724163,78.27332729,91.93308531,24.34355004
Comoros,COM,Sub-Saharan Africa,Low income,2004,597228,28.8913285,85.61330717,1.402814336
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2004,467664,46.0532497,79.20139189,14.06565397
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2004,4187038,95.11300237,95.94790005,22.04622934
Cuba,CUB,Latin America & Caribbean,Upper middle income,2004,11266941,89.66305804,93.67063252,0.672738057
Curacao,CUW,Latin America & Caribbean,High income,2004,134192,,,
Cayman Islands,CYM,Latin America & Caribbean,High income,2004,47299,95.55,96.125,71.46028457
Cyprus,CYP,Europe & Central Asia,High income,2004,1010410,99.96717922,100,64.79829104
Czech Republic,CZE,Europe & Central Asia,High income,2004,10197101,99.13892386,99.82257834,105.3032774
Germany,DEU,Europe & Central Asia,High income,2004,82516260,99.21305375,100,87.280701
Djibouti,DJI,Middle East & North Africa,Lower middle income,2004,770752,51.06690679,75.42716274,4.473812588
Dominica,DMA,Latin America & Caribbean,Upper middle income,2004,70379,69.07254626,94.575,59.44670996
Denmark,DNK,Europe & Central Asia,High income,2004,5404523,99.59723876,100,95.63465791
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2004,9102998,80.30467301,92.07651164,27.83767502
Algeria,DZA,Middle East & North Africa,Upper middle income,2004,32831096,85.01861463,90.91754503,14.87130981
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2004,13509647,75.10382072,85.69020225,26.23439384
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2004,75381899,92.64414872,98.26972559,10.13911841
Eritrea,ERI,Sub-Saharan Africa,Low income,2004,3858623,8.717178357,17.25120649,0.518319618
Spain,ESP,Europe & Central Asia,High income,2004,42921895,99.90279613,100,89.09134015
Estonia,EST,Europe & Central Asia,High income,2004,1362550,99.23301442,99.26713085,92.09175947
Ethiopia,ETH,Sub-Saharan Africa,Low income,2004,74624405,4.128946157,22.565823,0.208422432
Finland,FIN,Europe & Central Asia,High income,2004,5228172,99.44812757,100,95.15116311
Fiji,FJI,East Asia & Pacific,Upper middle income,2004,818354,83.08699746,94.51642425,17.37512128
France,FRA,Europe & Central Asia,High income,2004,62704895,98.6599708,99.93275055,73.15894611
Faroe Islands,FRO,Europe & Central Asia,High income,2004,48143,,100,85.7819413
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2004,106577,,91.189898,11.99320679
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2004,1364205,39.52529554,81.78598666,35.87195473
United Kingdom,GBR,Europe & Central Asia,High income,2004,59987905,99.1256986,100,99.67234557
Georgia,GEO,Europe & Central Asia,Lower middle income,2004,4245000,93.70848149,89.74461662,18.54365743
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2004,20986536,12.02484181,68.10231174,8.07660683
Gibraltar,GIB,Europe & Central Asia,High income,2004,31896,,99.61827037,57.66240281
Guinea,GIN,Sub-Saharan Africa,Low income,2004,9490229,12.48090726,57.88066945,1.632205082
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2004,1398573,51.18495992,75.58179705,12.51275407
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2004,1350345,14.37604269,57.19349584,2.921549678
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2004,724817,78.41264962,48.95698376,8.54008667
Greece,GRC,Europe & Central Asia,High income,2004,10955141,97.24349513,99.60525493,82.73239746
Grenada,GRD,Latin America & Caribbean,Upper middle income,2004,102656,90.52798836,94.23689769,42.19237064
Greenland,GRL,Europe & Central Asia,High income,2004,56911,99.59725086,100,68.64634811
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2004,12796925,61.45360069,87.73196709,24.75794771
Guam,GUM,East Asia & Pacific,High income,2004,158099,89.27570346,99.4984,61.98647683
Guyana,GUY,Latin America & Caribbean,Upper middle income,2004,751652,80.41199798,89.97112861,22.83716401
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2004,6783500,96.9,99.06482143,120.7473999
Honduras,HND,Latin America & Caribbean,Lower middle income,2004,7204153,66.99094617,85.03143056,9.816573857
Croatia,HRV,Europe & Central Asia,High income,2004,4439000,97.21144139,98.80815878,64.6795562
Haiti,HTI,Latin America & Caribbean,Low income,2004,9119178,20.87914523,58.88928529,4.386360262
Hungary,HUN,Europe & Central Asia,High income,2004,10107146,98.03296607,99.96590183,86.27897295
Indonesia,IDN,East Asia & Pacific,Lower middle income,2004,223614649,50.9590669,78.76009937,13.56646675
Isle of Man,IMN,Europe & Central Asia,High income,2004,75341,,,
India,IND,South Asia,Lower middle income,2004,1126135777,27.71205154,82.38979322,4.63709626
Ireland,IRL,Europe & Central Asia,High income,2004,4070262,89.53731264,96.88793601,93.49078861
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2004,69617100,87.61195864,95.24280186,7.290849518
Iraq,IRQ,Middle East & North Africa,Upper middle income,2004,26316609,78.49077407,79.10954171,2.181132075
Iceland,ISL,Europe & Central Asia,High income,2004,292074,98.79332468,100,99.64411344
Israel,ISR,Middle East & North Africa,High income,2004,6809000,100,100,111.6424199
Italy,ITA,Europe & Central Asia,High income,2004,57685327,,100,107.2746688
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2004,2728777,84.23567263,91.39871181,67.3397643
Jordan,JOR,Middle East & North Africa,Upper middle income,2004,5535595,98.37578409,99.30924496,29.33939351
Japan,JPN,East Asia & Pacific,High income,2004,127761000,99.98795956,98.47611465,71.34498772
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2004,15012985,97.12622952,87.54106559,15.90415546
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2004,35074931,30.64869765,49.76616164,7.259193183
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2004,5104700,92.91502459,81.82643521,5.227842631
Cambodia,KHM,East Asia & Pacific,Lower middle income,2004,13063377,21.94681009,58.39881623,6.594772546
Kiribati,KIR,East Asia & Pacific,Lower middle income,2004,90542,33.4713348,61.98518428,0.679242782
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2004,47971,88.13381122,98.54859694,60.45319047
"Korea, Rep.",KOR,East Asia & Pacific,High income,2004,48082519,100,98.52745388,75.43814051
Kuwait,KWT,Middle East & North Africa,High income,2004,2207939,100,100,80.37210267
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2004,5664605,40.33687496,55.66572726,3.604682056
Lebanon,LBN,Middle East & North Africa,Upper middle income,2004,3863267,78.18311218,87.22474483,22.89370629
Liberia,LBR,Sub-Saharan Africa,Low income,2004,3176414,14.09592593,63.96269701,2.970960335
Libya,LBY,Middle East & North Africa,Upper middle income,2004,5704759,99.7,,8.764612142
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2004,162251,80.03922676,89.97250785,62.24923113
Liechtenstein,LIE,Europe & Central Asia,High income,2004,34596,99.95,100,73.70794312
Sri Lanka,LKA,South Asia,Lower middle income,2004,19372538,87.92284797,81.41974244,11.41387876
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2004,1933728,17.15225205,67.7843136,10.14687691
Lithuania,LTU,Europe & Central Asia,High income,2004,3377075,87.1464515,92.0974537,90.24115692
Luxembourg,LUX,Europe & Central Asia,High income,2004,458095,97.6814322,99.930885,104.0239565
Latvia,LVA,Europe & Central Asia,High income,2004,2263122,87.85952494,97.85105207,67.43351376
"Macao SAR, China",MAC,East Asia & Pacific,High income,2004,471453,,100,91.72706505
St. Martin (French part),MAF,Latin America & Caribbean,High income,2004,27514,,,
Morocco,MAR,Middle East & North Africa,Lower middle income,2004,30179285,73.17496943,69.26747227,30.93803581
Monaco,MCO,Europe & Central Asia,High income,2004,33314,100,100,47.2774209
Moldova,MDA,Europe & Central Asia,Lower middle income,2004,3603945,73.72120795,84.77195022,18.88949454
Madagascar,MDG,Sub-Saharan Africa,Low income,2004,17802997,5.825321215,39.86937038,1.875459508
Maldives,MDV,South Asia,Upper middle income,2004,310423,85.82252184,93.25845308,36.48118857
Mexico,MEX,Latin America & Caribbean,Upper middle income,2004,106995583,79.99572569,91.84883695,35.93712369
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2004,52074,86.00248455,79.0456224,1.236701617
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,2004,2057047,89.77874113,97.88420951,47.91334374
Mali,MLI,Sub-Saharan Africa,Low income,2004,12391906,22.51499777,55.99914533,3.283280231
Malta,MLT,Middle East & North Africa,High income,2004,401268,99.99321287,100,75.5707926
Myanmar,MMR,East Asia & Pacific,Lower middle income,2004,48073707,68.20459993,58.19767794,0.192313025
Montenegro,MNE,Europe & Central Asia,Upper middle income,2004,613353,,,78.64259646
Mongolia,MNG,East Asia & Pacific,Lower middle income,2004,2496832,51.67243256,70.62668056,17.16955726
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2004,65663,75.48586945,98.94663277,31.18042124
Mozambique,MOZ,Sub-Saharan Africa,Low income,2004,20312705,15.05979886,28.56184004,3.485503285
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2004,3042823,28.83876607,58.30679098,17.16826776
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2004,1221003,91.89666739,99.45575385,45.05678729
Malawi,MWI,Sub-Saharan Africa,Low income,2004,12676038,36.91341628,55.78119942,1.752400868
Malaysia,MYS,East Asia & Pacific,Upper middle income,2004,25174109,97.66754292,97.69580653,58.03979001
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2004,2009228,29.71864266,77.51411338,14.23905102
New Caledonia,NCL,East Asia & Pacific,High income,2004,228750,100,95.2037255,50.87446425
Niger,NER,Sub-Saharan Africa,Low income,2004,13127012,7.694319518,39.96508626,1.313482459
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2004,135393616,35.2362374,52.09754165,6.756012041
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2004,5309703,64.68021062,81.00009675,13.91083456
Netherlands,NLD,Europe & Central Asia,High income,2004,16281779,97.9430742,100,90.86900361
Norway,NOR,Europe & Central Asia,High income,2004,4591910,98.068175,100,98.40233621
Nepal,NPL,South Asia,Low income,2004,25309449,26.56976925,81.84487881,0.461400799
Nauru,NRU,East Asia & Pacific,Upper middle income,2004,10126,65.66927555,96.68336046,
New Zealand,NZL,East Asia & Pacific,High income,2004,4087500,100,100,74.18321269
Oman,OMN,Middle East & North Africa,High income,2004,2444751,90.82552923,76.417532,32.98004582
Pakistan,PAK,South Asia,Lower middle income,2004,150780300,38.90315276,88.89450338,3.331276035
Panama,PAN,Latin America & Caribbean,High income,2004,3269541,67.57357066,90.08483713,38.53592905
Peru,PER,Latin America & Caribbean,Upper middle income,2004,27273194,66.75658244,83.25773946,15.0057892
Philippines,PHL,East Asia & Pacific,Lower middle income,2004,84678493,69.01745972,87.24147918,38.89520684
Palau,PLW,East Asia & Pacific,High income,2004,19804,91.57812649,94.45365483,19.81417895
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2004,6161517,18.65554547,36.66305759,0.784076389
Poland,POL,Europe & Central Asia,High income,2004,38182222,89.95786488,,60.15216507
Puerto Rico,PRI,Latin America & Caribbean,High income,2004,3826878,97.08422471,97.0753561,48.93409234
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,2004,23729498,76.97034827,99.84276497,0
Portugal,PRT,Europe & Central Asia,High income,2004,10483861,97.93180044,98.95395424,100.4068286
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2004,5703740,77.42214604,81.9338856,30.66493213
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2004,3236626,94.78890271,88.15065837,12.46069895
French Polynesia,PYF,East Asia & Pacific,High income,2004,251775,97.93828605,100,38.1292821
Qatar,QAT,Middle East & North Africa,High income,2004,758855,99.41666667,100,64.61484737
Romania,ROU,Europe & Central Asia,Upper middle income,2004,21451748,,100,47.31281741
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2004,144067054,85.12063046,95.54478194,51.18013339
Rwanda,RWA,Sub-Saharan Africa,Low income,2004,8818438,49.6697174,49.58407857,1.556636221
Saudi Arabia,SAU,Middle East & North Africa,High income,2004,23228890,98.63327808,97.44547448,39.50151729
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2004,30186341,21.00860433,43.48281565,3.473617422
Senegal,SEN,Sub-Saharan Africa,Low income,2004,10955944,41.05943448,65.25203231,10.23475476
Singapore,SGP,East Asia & Pacific,High income,2004,4166664,100,100,91.31953026
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2004,458324,21.65268065,80.42219216,0.654558784
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2004,5439695,11.23133475,43.16638003,
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2004,6000775,83.61810043,83.47235495,30.53903871
San Marino,SMR,Europe & Central Asia,High income,2004,28866,100,100,59.18727915
Somalia,SOM,Sub-Saharan Africa,Low income,2004,10116228,20.95704583,25.65948891,4.942553687
Serbia,SRB,Europe & Central Asia,Upper middle income,2004,7463157,96.76596611,91.72813119,51.08504837
South Sudan,SSD,Sub-Saharan Africa,Low income,2004,7787655,,,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2004,151969,25.91033535,70.474152,5.096434141
Suriname,SUR,Latin America & Caribbean,Upper middle income,2004,493630,80.47100111,90.85957712,43.11306039
Slovak Republic,SVK,Europe & Central Asia,High income,2004,5372280,98.86782642,97.969973,79.17822269
Slovenia,SVN,Europe & Central Asia,High income,2004,1997012,99.10773996,99.58958945,92.82962494
Sweden,SWE,Europe & Central Asia,High income,2004,8993531,99.312968,100,97.71274322
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2004,1095053,51.52559746,56.18733912,13.24136823
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2004,32488,,,
Seychelles,SYC,Sub-Saharan Africa,High income,2004,82475,95.83713701,94.2211747,62.14736409
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2004,17806638,92.98467258,95.52414994,13.17486209
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2004,25028,82.92045455,88.72727273,100.2277449
Chad,TCD,Sub-Saharan Africa,Low income,2004,9710043,9.769677368,39.89887386,1.266729715
Togo,TGO,Sub-Saharan Africa,Low income,2004,5534598,11.70568833,50.04803668,6.008837498
Thailand,THA,East Asia & Pacific,Upper middle income,2004,65002231,94.95028318,95.48702408,41.4840346
Tajikistan,TJK,Europe & Central Asia,Low income,2004,6712841,91.48129024,61.9802119,2.01107102
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2004,4703398,95.57958506,86.92407246,1.065187339
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2004,996698,35.22453565,54.66676323,2.580721543
Tonga,TON,East Asia & Pacific,Upper middle income,2004,100406,88.7425272,98.49031985,16.33368524
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2004,1290535,91.13001499,93.72395762,50.45884071
Tunisia,TUN,Middle East & North Africa,Lower middle income,2004,10017601,84.22063667,89.69244973,37.29131356
Turkey,TUR,Europe & Central Asia,Upper middle income,2004,67007855,85.92957965,96.41494464,51.79623941
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2004,9894,86.59096622,97.909424,5.053567819
Tanzania,TZA,Sub-Saharan Africa,Low income,2004,38249984,10.74863363,36.3804166,5.077126307
Uganda,UGA,Sub-Saharan Africa,Low income,2004,27568436,16.40700566,32.25818027,4.225974226
Ukraine,UKR,Europe & Central Asia,Lower middle income,2004,47451600,95.02122494,96.18449206,29.0897363
Uruguay,URY,Latin America & Caribbean,High income,2004,3324096,94.2333756,97.03094199,18.04304088
United States,USA,North America,High income,2004,292805298,99.9675672,,63.17748926
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2004,25864350,96.16730518,88.58970405,2.079867048
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2004,108559,75.50251116,93.72136969,66.32338176
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2004,26327225,89.74999142,96.52090989,31.98582456
British Virgin Islands,VGB,Latin America & Caribbean,High income,2004,22541,96.80945876,96.82328767,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2004,108467,96.79958927,99.9988,59.39714672
Vietnam,VNM,East Asia & Pacific,Lower middle income,2004,83527678,60.31636957,81.32386985,5.938151423
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2004,204143,53.11044749,81.80853323,5.145412774
Samoa,WSM,East Asia & Pacific,Upper middle income,2004,178781,98.65901213,93.03845713,8.94949687
Kosovo,XKX,Europe & Central Asia,Lower middle income,2004,1704622,,,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2004,20017068,44.6631735,47.63746777,7.373707278
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2004,48247395,63.34632359,79.1993265,43.19196922
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2004,11731746,27.36172859,51.98274851,3.958097968
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2004,12777511,41.22737576,69.88499127,3.331986957
Aruba,ABW,Latin America & Caribbean,High income,2005,100031,97.99657295,95.89723012,103.3849507
Afghanistan,AFG,South Asia,Low income,2005,25070798,28.12946646,37.27590709,4.78644517
Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,19552542,26.72881285,39.01677494,8.239941385
Albania,ALB,Europe & Central Asia,Upper middle income,2005,3011487,92.18449956,87.9028779,49.69649377
Andorra,AND,Europe & Central Asia,High income,2005,78867,100,100,81.8593328
United Arab Emirates,ARE,Middle East & North Africa,High income,2005,4579562,99.9762234,99.64453497,99.00822393
Argentina,ARG,Latin America & Caribbean,High income,2005,39145488,94.83882786,99.24435417,56.60020383
Armenia,ARM,Europe & Central Asia,Upper middle income,2005,2981259,90.78963284,96.7458372,10.66811035
American Samoa,ASM,East Asia & Pacific,Upper middle income,2005,59118,62.47818298,98.80485,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2005,89253,84.36891379,97.67123483,96.35530458
Australia,AUS,East Asia & Pacific,High income,2005,20394800,100,99.7974,91.012838
Austria,AUT,Europe & Central Asia,High income,2005,8227829,99.99407406,100,104.9838556
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2005,8391850,73.6595591,79.14375334,26.25721341
Burundi,BDI,Sub-Saharan Africa,Low income,2005,7423289,44.65687643,53.57634952,2.061081011
Belgium,BEL,Europe & Central Asia,High income,2005,10478617,99.4851572,100,91.0666428
Benin,BEN,Sub-Saharan Africa,Low income,2005,7982225,11.22201291,62.43520343,7.469934761
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2005,13421930,13.54681249,48.79800907,4.720289854
Bangladesh,BGD,South Asia,Lower middle income,2005,143431101,32.71629986,95.60328876,6.274789733
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2005,7658972,85.87873545,99.66277089,81.27426627
Bahrain,BHR,Middle East & North Africa,High income,2005,889168,99.92309399,99.94841142,86.27199809
"Bahamas, The",BHS,Latin America & Caribbean,High income,2005,329249,90.01706647,98.13701131,69.17894967
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2005,3781530,94.85497283,96.71640565,42.16195561
Belarus,BLR,Europe & Central Asia,Upper middle income,2005,9663915,94.79948126,97.90615878,42.60751108
Belize,BLZ,Latin America & Caribbean,Upper middle income,2005,283277,84.0774912,90.73101467,33.88909089
Bermuda,BMU,North America,High income,2005,64154,99.95622504,99.95622504,80.94580071
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2005,9125409,43.0185991,83.87451798,26.53472299
Brazil,BRA,Latin America & Caribbean,Upper middle income,2005,186917361,77.75053667,95.05701817,46.12216626
Barbados,BRB,Latin America & Caribbean,High income,2005,274009,90.9283685,98.39635657,75.24935312
Brunei Darussalam,BRN,East Asia & Pacific,High income,2005,365158,,,63.78061004
Bhutan,BTN,South Asia,Lower middle income,2005,656639,56.75874363,87.78186534,5.48246449
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2005,1855852,56.58054649,77.84627138,30.37860778
Central African Republic,CAF,Sub-Saharan Africa,Low income,2005,4127910,18.92935368,52.7604396,2.422533437
Canada,CAN,North America,High income,2005,32312000,98.5,99.9,52.70258468
Switzerland,CHE,Europe & Central Asia,High income,2005,7437115,99.89716236,100,92.22603163
Channel Islands,CHI,Europe & Central Asia,High income,2005,154294,,,
Chile,CHL,Latin America & Caribbean,High income,2005,16147064,94.94256987,97.28728862,65.45816627
China,CHN,East Asia & Pacific,Upper middle income,2005,1303720000,65.14943047,84.29854342,29.76687407
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2005,18336303,24.79623397,72.12545052,12.81304634
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2005,17420795,39.34184305,58.73923679,12.92999545
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2005,54751476,21.43463438,36.85205936,5.01556159
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2005,3718243,13.40796383,59.74652924,15.01225175
Colombia,COL,Latin America & Caribbean,Upper middle income,2005,43285634,78.87273587,92.39056419,50.47862531
Comoros,COM,Sub-Saharan Africa,Low income,2005,611627,29.40635982,85.41574036,2.537984752
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2005,474567,48.17591443,79.89295008,17.22011855
